id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
10039700000000000000,0,14102100,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,b76420b1,16954458,1,0,17654,300,250,1994,2,39,-1,33
10039700000000000000,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,1779deee,2347f47a,f95efa07,a99f214a,883e9180,be74e6fe,1,0,16989,320,50,1926,2,39,-1,13
10039900000000000000,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c1cbf73f,4ea23a13,1,0,15708,320,50,1722,0,35,-1,79
10039900000000000000,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,e54c1344,1f0bc64f,1,0,15707,320,50,1722,0,35,-1,79
10040200000000000000,1,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e56d1ac1,8a4875bd,1,0,15708,320,50,1722,0,35,-1,79
1004020000000000000,0,14102100,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,067be8a0,1f0bc64f,1,0,20346,300,250,2331,2,39,-1,23
10040300000000000000,0,14102100,1010,1,85f751fd,c4e18dd6,50e219e0,c7f29df3,7801e8d9,0f2161f8,0c3bbac0,4145b2e7,8cc9d243,4,0,21665,320,50,2493,3,35,-1,117
10040600000000000000,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,fab514ae,4ceb2e0b,1,0,15703,320,50,1722,0,35,-1,79
10040700000000000000,0,14102100,1005,0,6ec06dbd,d262cf1e,f66779e6,ecad2386,7801e8d9,07d7df22,a99f214a,36517d24,7abbbd5c,1,0,17163,320,50,1955,3,163,100193,71
10040700000000000000,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6406e97b,56f254f5,1,0,15703,320,50,1722,0,35,-1,79
10041000000000000000,0,14102100,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6894301,7abbbd5c,1,0,4687,320,50,423,2,39,100148,32
10041000000000000000,0,14102100,1005,0,790c9243,dffed5f8,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,12ae36b3,a1a7a957,1,0,20596,320,50,2161,0,35,-1,157
10041000000000000000,0,14102100,1005,1,43d6df75,27e3c518,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c07ccf21,23885c9e,1,0,15703,320,50,1722,0,35,-1,79
10041000000000000000,0,14102100,1002,0,7549fe4f,1e0acfb4,50e219e0,ecad2386,7801e8d9,07d7df22,7d98887a,d4cc16fe,a12e847c,0,0,21688,320,50,2496,3,167,100075,23
10041300000000000000,0,14102100,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c1208552,d4897fef,1,0,16208,320,50,1800,3,167,100074,23
10041500000000000000,0,14102100,1005,0,85f751fd,c4e18dd6,50e219e0,e8937587,d9b5648e,0f2161f8,a99f214a,6b60118a,aad45b01,1,0,20153,320,50,2307,3,163,100020,61
10041800000000000000,0,14102100,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,8c8dad8f,1ccc7835,1,0,15703,320,50,1722,0,35,100084,79
